Sample,Mean Wind Power,Standard Deviation,Average,Variability,NN output,MSE
289,5521.652917,1201.421305,0.552165292,0.400473768,,
290,7842.5625,1099.361225,0.78425625,0.366453742,,
291,3049.41,1175.388425,0.304941,0.391796142,,
292,6275.096667,769.4792135,0.627509667,0.256493071,,
293,3310.015833,1173.981431,0.331001583,0.391327144,,
294,4196.9625,1849.38491,0.41969625,0.616461637,,
295,6343.522917,777.2564657,0.634352292,0.259085489,,
296,2295.727917,1378.557158,0.229572792,0.459519053,,
297,3581.817917,1252.44648,0.358181792,0.41748216,,
298,4434.524167,1304.004658,0.443452417,0.434668219,,
299,6854.23,1189.181671,0.685423,0.39639389,,
300,5082.21375,1485.035265,0.508221375,0.495011755,,
301,8425.305833,1198.777996,0.842530583,0.399592665,,
302,3157.91,1942.960214,0.315791,0.647653405,,
303,4322.1125,2326.216757,0.43221125,0.775405586,,
304,5797.9825,1445.131171,0.57979825,0.48171039,,
305,7061.896667,883.4486217,0.706189667,0.294482874,,
306,8003.624167,481.071513,0.800362417,0.160357171,,
307,6784.894167,759.1515175,0.678489417,0.253050506,,
308,6824.654583,1468.636702,0.682465458,0.489545567,,
309,5087.255,1319.515056,0.5087255,0.439838352,,
310,5706.865417,1766.328442,0.570686542,0.588776147,,
311,6906.569583,1514.254211,0.690656958,0.504751404,,
312,7113.532083,2147.763203,0.711353208,0.715921068,,
313,3622.4775,1355.644779,0.36224775,0.451881593,,
314,7486.90625,1445.500213,0.748690625,0.481833404,,
315,8862.28,477.1998128,0.886228,0.159066604,,
316,6885.620833,567.360352,0.688562083,0.189120117,,
317,6126.317083,916.8617057,0.612631708,0.305620569,,
318,1301.733333,1124.532659,0.130173333,0.37484422,,
319,1816.616667,629.3322004,0.181661667,0.2097774,,
320,6070.612083,1139.55415,0.607061208,0.379851383,,
321,9637.838333,906.0937241,0.963783833,0.302031241,,
322,6422.347917,1155.486362,0.642234792,0.385162121,,
323,8426.435417,1007.191928,0.842643542,0.335730643,,
324,4827.447917,1931.613321,0.482744792,0.643871107,,
325,7921.39125,1819.009621,0.792139125,0.60633654,,
326,7976.47375,1415.442528,0.797647375,0.471814176,,
327,8045.91625,1361.222504,0.804591625,0.453740835,,
328,10019.03292,332.8247653,1.001903292,0.110941588,,
329,4438.134583,2147.876282,0.443813458,0.715958761,,
330,4970.1625,493.537943,0.49701625,0.164512648,,
331,3652.749583,1361.066255,0.365274958,0.453688752,,
332,5141.3575,1629.96936,0.51413575,0.54332312,,
333,7242.850833,1265.475255,0.724285083,0.421825085,,
334,9240.703333,542.4416056,0.924070333,0.180813869,,
335,4777.316667,1534.463993,0.477731667,0.511487998,,
336,5904.865417,1835.342954,0.590486542,0.611780985,,
337,5396.185,2441.848479,0.5396185,0.813949493,,
338,5000.236667,515.2009532,0.500023667,0.171733651,,
339,1830.0525,1329.964721,0.18300525,0.443321574,,
340,3916.850417,1694.703532,0.391685042,0.564901177,,
341,7998.112083,662.3944658,0.799811208,0.220798155,,
342,7848.757917,611.780924,0.784875792,0.203926975,,
343,2902.16375,1275.069221,0.290216375,0.425023074,,
344,3046.73,550.5616247,0.304673,0.183520542,,
345,2521.9275,723.3935299,0.25219275,0.241131177,,
346,4663.305417,1453.531951,0.466330542,0.48451065,,
347,6602.7925,697.7624457,0.66027925,0.232587482,,
348,5099.480833,914.6220898,0.509948083,0.30487403,,
349,4503.998333,1214.322759,0.450399833,0.404774253,,
350,6076.8575,1030.402907,0.60768575,0.343467636,,
