"Market Day	",Hour Ending,MWh
41670,23,3523.45
41670,24,3543.03
41671,1,3285.87
41671,2,3229.81
41671,3,3301.79
41671,4,3246.33
41671,5,2893.63
41671,6,2389.13
41671,7,2156.27
41671,8,2364.94
41671,9,2511.96
41671,10,2639.74
41671,11,2939.29
41671,12,3128.25
41671,13,3516.15
41671,14,3991.89
41671,15,4546.89
41671,16,5321.28
41671,17,5915.08
41671,18,6110.82
41671,19,6068.17
41671,20,5867.42
41671,21,5883.25
41671,22,5842.79
41671,23,5655.78
41671,24,5489.84
41672,1,5025.87
41672,2,4854.78
41672,3,4332.27
41672,4,3978.06
41672,5,3696.5
41672,6,3401.86
41672,7,2977.36
41672,8,2595.58
41672,9,2556.76
41672,10,2150.61
41672,11,1600.43
41672,12,1225.14
41672,13,1384.7
41672,14,1626.34
41672,15,2098.69
41672,16,2210.15
41672,17,1738.45
41672,18,1463.63
41672,19,1842.13
41672,20,2778.44
41672,21,3834.64
41672,22,5007.28
41672,23,5784.12
41672,24,5839.65
41673,1,5793.4
41673,2,5689.92
41673,3,5475.75
41673,4,5327.69
41673,5,5015.58
41673,6,4501.34
41673,7,4212.66
41673,8,3966.46
41673,9,3841.79
41673,10,3769.39
41673,11,2590.9
41673,12,1504.5
41673,13,1133.52
41673,14,1311.95
41673,15,1499.93
41673,16,1503.82
41673,17,1462.98
41673,18,1440.56
41673,19,1861.95
41673,20,1926
41673,21,1888.38
41673,22,1900.21
41673,23,1796.09
41673,24,1897.5
41674,1,1821.99
41674,2,1919.33
41674,3,1813.29
41674,4,2178.51
41674,5,2686.32
41674,6,2894.01
41674,7,3211.93
41674,8,3446.43
41674,9,3619.34
41674,10,3774.46
41674,11,4034.54
41674,12,3967.8
41674,13,4005.43
41674,14,4071.06
41674,15,4252.23
41674,16,4934.07
41674,17,5742.85
41674,18,6384.24
41674,19,6613.86
41674,20,6715.18
41674,21,6983.09
41674,22,7112.58
41674,23,7259.79
41674,24,7064.76
41675,1,7323.23
41675,2,7825.7
41675,3,8045.77
41675,4,8242.07
41675,5,8088.54
41675,6,8299.54
41675,7,7895.29
41675,8,7892.83
41675,9,7773.83
41675,10,7927.21
41675,11,7730.04
41675,12,7864.97
41675,13,7838.72
41675,14,7545.4
41675,15,7841.11
41675,16,7868.52
41675,17,7514.93
41675,18,6733.71
41675,19,5649.02
41675,20,5319.41
41675,21,5588.07
41675,22,5772.05
41675,23,5819.18
41675,24,5796.47
41676,1,5769.29
41676,2,5877.13
41676,3,5990.74
41676,4,6150.98
41676,5,6205.24
41676,6,6140.74
41676,7,5996.52
41676,8,6021.52
41676,9,6146.87
41676,10,5698.05
41676,11,4635.73
41676,12,4360.53
41676,13,4946.24
41676,14,5978.23
41676,15,6495.57
41676,16,6637.7
41676,17,6897.71
41676,18,6585.04
41676,19,6129.38
41676,20,6542.64
41676,21,7318.9
41676,22,7792.05
41676,23,7679.18
41676,24,7755
41677,1,7597.79
41677,2,7528.87
41677,3,7430.38
41677,4,7220.19
41677,5,7024.56
41677,6,6858.23
41677,7,6759.99
41677,8,6914.09
41677,9,6839.07
41677,10,6527.51
41677,11,5329.68
41677,12,4340.06
41677,13,4233.76
41677,14,4582.98
41677,15,5080.92
41677,16,4973.73
41677,17,4614.84
41677,18,3890.29
41677,19,3631.9
41677,20,4182.18
41677,21,5142.64
41677,22,5780.37
41677,23,6118.19
41677,24,5731.08
41678,1,5177.84
41678,2,4925.17
41678,3,4307.77
41678,4,3613.01
41678,5,2865.19
41678,6,2390.51
41678,7,2035.57
41678,8,1799.42
41678,9,1494.76
41678,10,1282.09
41678,11,975.49
41678,12,794.03
41678,13,550.6
41678,14,496.5
41678,15,535.04
41678,16,541.06
41678,17,507.8
41678,18,627.44
41678,19,622.05
41678,20,673.59
41678,21,836.76
41678,22,1037.48
41678,23,1496.35
41678,24,2079.15
41679,1,2531.05
41679,2,3156.34
41679,3,3787.69
41679,4,4121.43
41679,5,4572.3
41679,6,4599.87
41679,7,4687.45
41679,8,4869.48
41679,9,4737.93
41679,10,4157.12
41679,11,3204.05
41679,12,2615.42
41679,13,2544.21
41679,14,3064.72
41679,15,3982.9
41679,16,4476.01
41679,17,4331
41679,18,3943.9
41679,19,3935.7
41679,20,4280.56
41679,21,4433.83
41679,22,4642.51
41679,23,4830.46
41679,24,5267.09
41680,1,5677.37
41680,2,5512.96
41680,3,5119.17
41680,4,4527.16
41680,5,3798.13
41680,6,3271.99
41680,7,3043.77
41680,8,2772.74
41680,9,2081.94
41680,10,1234.87
41680,11,525.19
41680,12,209.32
41680,13,180.27
41680,14,311.41
41680,15,398.88
41680,16,538.59
41680,17,632.78
41680,18,670.57
41680,19,763.4
41680,20,1150.62
41680,21,1522
41680,22,1691.8
41680,23,1794.33
41680,24,2113.24
41681,1,2409.49
41681,2,2293.57
41681,3,2226.42
41681,4,2158.28
41681,5,2394.9
41681,6,2767.06
41681,7,3201.92
41681,8,3691.09
41681,9,4404.1
41681,10,5121.44
41681,11,5581.08
41681,12,5420.57
41681,13,5425.27
41681,14,5550.36
41681,15,5987.67
41681,16,6389.42
41681,17,6354.37
41681,18,6790.98
41681,19,7086.82
41681,20,7339.53
41681,21,8090.62
41681,22,8338.71
41681,23,8583.39
41681,24,8559.74
41682,1,8533.41
41682,2,8191.43
41682,3,7128.97
41682,4,5819.62
41682,5,5050.23
41682,6,4370.11
41682,7,4116.64
41682,8,3774.03
41682,9,3021.02
41682,10,2200.49
41682,11,1535.61
41682,12,1132.46
41682,13,1007.22
41682,14,963.04
41682,15,1053.43
41682,16,978.25
41682,17,1078.68
41682,18,1384.6
41682,19,2129.71
41682,20,3077.1
41682,21,3919.44
41682,22,4859.33
41682,23,5706.57
41682,24,6362.64
41683,1,6567.5
41683,2,6442.74
41683,3,6736.44
41683,4,7111.68
41683,5,7298.1
41683,6,7514.3
41683,7,7665.63
41683,8,8042.65
41683,9,8169.42
41683,10,7898.14
41683,11,7642.21
41683,12,7476.49
41683,13,7419.7
41683,14,7043.37
41683,15,6990.57
41683,16,7337.68
41683,17,6973.56
41683,18,6357.28
41683,19,6000.75
41683,20,5803.77
41683,21,5602.59
41683,22,5013.23
41683,23,4277.57
41683,24,3654.53
41684,1,3683.6
41684,2,4226.2
41684,3,3791.2
41684,4,2857.85
41684,5,2559.47
41684,6,3202.78
41684,7,4177.85
41684,8,4429.36
41684,9,4439.89
41684,10,4318.07
41684,11,4335.73
41684,12,4617.84
41684,13,4490.11
41684,14,4280.88
41684,15,4375.28
41684,16,4452.49
41684,17,4613.48
41684,18,4065.18
41684,19,3753.29
41684,20,4260.72
